recipe_name,diet,condition,ingredients,calories,steps,time
Chicken 65,non-veg,normal,chicken spices,340,"1. Marinate chicken in red chili, soy. 2. Fry. 3. Make sauce. 4. Add chicken. 5. Cook. 6. Serve. 7. Hot. 8. Enjoy.",25
Chicken Biryani,non-veg,normal,chicken rice onion spices,450,1. Marinate chicken. 2. Cook rice. 3. Fry onions. 4. Layer. 5. Cook. 6. Dum. 7. Serve. 8. Aromatic.,50
Chicken Chettinad,non-veg,normal,chicken spices,370,1. Marinate chicken. 2. Cook with spices. 3. Serve. 4. Spicy. 5. South Indian. 6. Traditional. 7. Rich. 8. Aromatic.,40
Chicken Korma,non-veg,normal,chicken yogurt coconut spices,310,1. Marinate chicken in yogurt. 2. Grind coconut and spices. 3. Sauté onions. 4. Add chicken and cook. 5. Add ground paste. 6. Simmer until done. 7. Garnish with nuts. 8. Serve with rice.,45
Chicken Masala,non-veg,normal,chicken onion tomato,280,1. Marinate chicken. 2. Sauté onions. 3. Add tomatoes. 4. Spices. 5. Chicken. 6. Simmer. 7. Serve. 8. Rice.,40
Chicken Pulao,non-veg,normal,chicken rice spices,380,1. Marinate chicken. 2. Cook rice. 3. Sauté. 4. Mix. 5. Cook. 6. Serve. 7. Hot. 8. Enjoy.,45
Chicken Tandoori,non-veg,normal,chicken yogurt spices,270,1. Marinate chicken in yogurt and spices. 2. Let it rest for 2 hours. 3. Preheat oven. 4. Place on baking tray. 5. Bake at 200°C for 25 minutes. 6. Turn halfway. 7. Brush with oil. 8. Serve with salad.,150
Chicken Tikka Masala,non-veg,normal,chicken tomato cream spices,420,1. Grill marinated chicken tikka. 2. Heat 2 tablespoons oil. 3. Add 1 chopped onion. 4. Add 2 chopped tomatoes. 5. Add spices and cook. 6. Add grilled chicken. 7. Add cream and simmer. 8. Serve with naan.,50
Chilli Chicken,non-veg,normal,chicken capsicum spices,350,1. Marinate chicken. 2. Fry. 3. Add capsicum. 4. Add spices. 5. Cook. 6. Serve. 7. Hot. 8. Enjoy.,35
Chivda,veg,normal,flattened rice peanuts spices,140,"1. Heat oil in a pan. 2. Roast 1 cup flattened rice. 3. Add 1/2 cup peanuts, roast. 4. Add spices like chili. 5. Mix well. 6. Remove from heat. 7. Cool completely. 8. Store in airtight container.",15
Cucumber Salad,veg,normal,cucumber tomato onion lemon,100,1. Wash and slice 1 cucumber. 2. Chop 1 tomato and 1 onion. 3. Place in a bowl. 4. Squeeze juice from 1 lemon. 5. Drizzle over vegetables. 6. Season with salt. 7. Toss well. 8. Chill and serve.,10
Dahi Bhalla,veg,normal,lentils yogurt spices,190,"1. Soak 1 cup urad dal and grind into batter. 2. Shape into balls and deep fry until golden. 3. Soak in water for 10 minutes, then squeeze. 4. Mix with sweetened yogurt. 5. Add spices and tamarind chutney. 6. Chill for 30 minutes. 7. Garnish with nuts. 8. Serve cold.",60
Dahi Vada,veg,normal,lentils yogurt spices,210,"1. Grind soaked lentils into batter. 2. Shape into vadas and fry. 3. Soak in water, then squeeze. 4. Dip in yogurt. 5. Add spices and chutney. 6. Chill for 1 hour. 7. Garnish with nuts. 8. Serve cold.",50
Dal Tadka,veg,normal,lentils spices,220,1. Rinse 1 cup toor dal. 2. Pressure cook with water for 10 minutes. 3. Heat 1 tablespoon ghee. 4. Add cumin seeds and red chili. 5. Add hing and curry leaves. 6. Pour over dal. 7. Boil for 5 minutes. 8. Serve with rice.,25
Duck Roast,non-veg,normal,duck spices oil,290,1. Clean duck. 2. Marinate with spices. 3. Preheat oven. 4. Roast for 1 hour. 5. Baste with oil. 6. Check doneness. 7. Rest before serving. 8. Slice and serve.,90
Egg Biryani,non-veg,normal,egg rice spices,280,1. Boil eggs and fry. 2. Cook rice with spices. 3. Sauté onions. 4. Layer rice and eggs. 5. Add saffron. 6. Cook covered. 7. Let sit. 8. Serve warm.,50
Egg Curry,non-veg,normal,egg onion tomato spices,250,"1. Boil 4 eggs and peel. 2. Heat 2 tablespoons oil. 3. Add 1 chopped onion and sauté. 4. Add 2 chopped tomatoes and cook. 5. Add spices like turmeric, chili, garam masala. 6. Add boiled eggs and coat. 7. Add water and simmer for 5 minutes. 8. Serve with rice.",30
Egg Omelette,non-veg,normal,egg onion green chilli,190,1. Beat 2 eggs in a bowl. 2. Chop 1 onion and 1 green chili finely. 3. Add onion and chili to the eggs. 4. Season with salt and pepper. 5. Heat 1 teaspoon oil in a pan. 6. Pour the egg mixture into the pan. 7. Cook for 2-3 minutes until set. 8. Fold and serve hot.,10
Fish Biryani,non-veg,normal,fish rice spices,300,1. Marinate fish in spices. 2. Cook rice. 3. Sauté vegetables. 4. Layer with fish. 5. Add water and cook. 6. Simmer covered. 7. Let rest. 8. Serve hot.,60
Fish Curry,non-veg,normal,fish onion tomato spices,260,"1. Clean and cut 200g fish into pieces. 2. Chop 1 onion and 1 tomato finely. 3. Heat 1 tablespoon oil in a pan. 4. Add chopped onion and sauté until brown. 5. Add tomato and spices like chili, turmeric, and coriander. 6. Cook the masala until oil separates. 7. Add fish pieces and 1 cup water, simmer for 10-15 minutes. 8. Garnish with coriander and serve with rice.",25
Fish Masala,non-veg,normal,fish onion tomato spices,270,1. Clean and cut fish. 2. Marinate in spices. 3. Sauté onions. 4. Add tomatoes and spices. 5. Cook masala. 6. Add fish and simmer. 7. Cook until fish is done. 8. Serve with rice.,35
Fish Tikka,non-veg,normal,fish yogurt spices,240,1. Cut fish into cubes. 2. Marinate in yogurt and spices. 3. Skewer the pieces. 4. Preheat grill. 5. Grill for 10 minutes. 6. Turn occasionally. 7. Brush with oil. 8. Serve with lemon.,40
Fruit Salad,veg,normal,apple banana papaya grapes,120,"1. Wash all the fruits thoroughly under running water. 2. Peel the apple, banana, and papaya if necessary. 3. Chop the apple, banana, papaya, and grapes into bite-sized pieces. 4. Place all the chopped fruits in a large mixing bowl. 5. Gently toss the fruits together to mix evenly. 6. Drizzle with a squeeze of lemon juice to prevent browning (optional). 7. Chill the salad in the refrigerator for 15-20 minutes. 8. Serve fresh as a refreshing snack.",25
Gobi 65,veg,normal,cauliflower spices,280,1. Make batter. 2. Fry gobi. 3. Make sauce. 4. Add gobi. 5. Cook. 6. Serve. 7. Hot. 8. Enjoy.,30
Gobi Manchurian,veg,normal,cauliflower spices,290,"1. Make batter with flour. 2. Dip cauliflower florets. 3. Fry until golden. 4. Make sauce with soy, chili. 5. Add fried gobi. 6. Cook. 7. Serve. 8. Hot.",35
Gobi Masala,veg,normal,cauliflower spices,270,1. Heat oil. 2. Add spices. 3. Add gobi. 4. Cook. 5. Add water. 6. Simmer. 7. Serve. 8. With roti.,35
Idli,veg,normal,rice urad dal,150,1. Soak rice and dal. 2. Grind. 3. Ferment. 4. Steam. 5. Serve. 6. With chutney. 7. Soft. 8. South Indian.,20
Idli Sambhar,veg,normal,rice urad dal vegetables,200,"1. Soak 1 cup rice and 1/2 cup urad dal for 4 hours. 2. Grind into a smooth batter and ferment overnight. 3. Grease idli molds and pour batter. 4. Steam for 10-12 minutes until cooked. 5. For sambhar, boil vegetables like drumstick and tomato. 6. Add dal and spices, cook until thick. 7. Temper with mustard seeds and curry leaves. 8. Serve idli with hot sambhar.",300
Jalebi,veg,normal,flour sugar yogurt,300,"1. Make batter with flour, yogurt, and water. 2. Ferment for 8 hours. 3. Heat oil for frying. 4. Pipe batter into spirals. 5. Fry until golden. 6. Soak in sugar syrup. 7. Drain and serve. 8. Enjoy warm.",45
Kachori,veg,normal,flour lentils spices,280,1. Make dough with 1 cup flour and water. 2. Prepare filling with boiled lentils and spices. 3. Divide dough into balls. 4. Stuff with filling and seal. 5. Roll into flat discs. 6. Heat oil for frying. 7. Fry kachoris until puffed and golden. 8. Serve with chutney.,45
Kadhi Pakora,veg,normal,yogurt spices,250,1. Make kadhi. 2. Fry pakoras. 3. Add. 4. Serve. 5. Punjabi. 6. Yogurt. 7. Comfort. 8. Tangy.,30
Keema,non-veg,normal,minced meat onion peas,280,1. Heat oil and sauté onions. 2. Add minced meat. 3. Cook until browned. 4. Add peas and spices. 5. Simmer with water. 6. Cook until tender. 7. Adjust seasoning. 8. Serve with rice.,40
Kheer,veg,normal,rice milk sugar,300,1. Cook rice. 2. Add milk. 3. Add sugar. 4. Cook. 5. Add nuts. 6. Serve. 7. Cold. 8. Dessert.,40
Khichdi,veg,normal,rice moong dal ghee,170,1. Rinse 1/2 cup rice and 1/4 cup dal. 2. Heat 1 teaspoon ghee. 3. Add cumin seeds. 4. Add rice and dal. 5. Pour 3 cups water. 6. Boil and simmer. 7. Cook until soft. 8. Serve with ghee.,30
Ladoo,veg,normal,flour ghee sugar,280,1. Roast flour in ghee until aromatic. 2. Add sugar and mix. 3. Shape into balls. 4. Let cool. 5. Store in container. 6. Serve as dessert. 7. Garnish if desired. 8. Eat fresh.,30
Lamb Kebab,non-veg,normal,lamb onion spices,250,1. Mince lamb. 2. Chop onion. 3. Mix with spices. 4. Shape into kebabs. 5. Grill on skewers. 6. Cook for 10 minutes. 7. Turn as needed. 8. Serve with sauce.,30
Lucknowi Biryani,non-veg,normal,mutton rice spices,460,1. Marinate mutton. 2. Cook rice. 3. Layer. 4. Dum. 5. Serve. 6. Rich. 7. Awadhi. 8. Mughlai.,65
Masala Dosa,veg,normal,rice urad dal potato spices,350,1. Soak rice and dal. 2. Grind to batter. 3. Ferment. 4. Cook potato filling. 5. Spread batter. 6. Add filling. 7. Fold. 8. Serve with chutney.,25
Masala Vada,veg,normal,chana dal onion green chilli,180,"1. Soak 1 cup chana dal for 2 hours. 2. Drain and grind coarsely. 3. Chop 1 onion and 1 green chili. 4. Mix with dal, add spices. 5. Shape into patties. 6. Heat oil for frying. 7. Fry until golden. 8. Serve with chutney.",30
Masoor Dal,veg,normal,masoor dal spices,200,1. Rinse 1 cup masoor dal. 2. Cook in pressure cooker. 3. Heat 1 tablespoon oil. 4. Add cumin and spices. 5. Add to dal. 6. Boil. 7. Serve. 8. With roti.,30
Moong Dal Soup,veg,normal,moong dal tomato onion spices,120,"1. Rinse 1/2 cup moong dal. 2. Chop 1 tomato and 1 onion. 3. Boil dal in 2 cups water for 15 minutes. 4. Add tomato and onion, cook further. 5. Blend the mixture smooth. 6. Add spices like cumin and pepper. 7. Simmer for 5 minutes. 8. Serve hot.",25
Murukku,veg,normal,rice flour spices,280,1. Make dough. 2. Shape. 3. Fry. 4. Serve. 5. Crispy. 6. Snack. 7. South Indian. 8. Traditional.,30
Mutton Biryani,non-veg,normal,mutton rice spices,350,1. Marinate mutton in yogurt. 2. Cook rice with spices. 3. Sauté onions. 4. Layer rice and mutton. 5. Add saffron. 6. Dum cook for 30 minutes. 7. Fluff and serve. 8. Garnish with nuts.,90
Mutton Chops,non-veg,normal,mutton spices,380,1. Marinate mutton. 2. Fry. 3. Serve. 4. Tender. 5. Appetizer. 6. Mughlai. 7. Rich. 8. Festive.,35
Mutton Curry,non-veg,normal,mutton onion tomato spices,290,1. Clean and cut mutton. 2. Boil mutton until tender. 3. Chop onion and tomato. 4. Sauté onion in oil. 5. Add tomato and spices. 6. Add boiled mutton. 7. Simmer for 20 minutes. 8. Serve with rice.,70
Mutton Keema,non-veg,normal,mutton mince peas spices,290,1. Sauté onions. 2. Add mutton mince. 3. Cook. 4. Add peas. 5. Spices. 6. Simmer. 7. Serve. 8. Hot.,45
Mutton Rogan Josh,non-veg,normal,mutton yogurt spices,330,1. Clean and cut mutton. 2. Marinate in yogurt. 3. Cook with spices. 4. Sauté onions. 5. Add mutton and water. 6. Simmer for 1 hour. 7. Adjust seasoning. 8. Serve with naan.,80
Pakora,veg,normal,vegetables gram flour spices,250,1. Chop vegetables like onions and potatoes. 2. Mix with gram flour batter. 3. Add spices. 4. Heat oil for frying. 5. Drop spoonfuls into hot oil. 6. Fry until golden. 7. Drain on paper towel. 8. Serve with chutney.,25
Paneer Bhurji,veg,normal,paneer onion tomato spices,220,"1. Crumble 200g paneer into small pieces. 2. Finely chop 1 onion and 1 tomato. 3. Heat 1 tablespoon oil in a pan over medium heat. 4. Add chopped onion and saute until golden. 5. Add chopped tomato and cook until soft. 6. Add spices like cumin, turmeric, and chili powder. 7. Stir in the crumbled paneer and cook for 5 minutes. 8. Garnish with coriander and serve hot with roti.",15
Prawn Curry,non-veg,normal,prawn coconut milk spices,290,1. Clean prawns. 2. Grind spices and coconut. 3. Sauté onions. 4. Add ground paste. 5. Add prawns and water. 6. Simmer for 10 minutes. 7. Adjust spices. 8. Serve hot.,30
Prawn Fry,non-veg,normal,prawn spices,260,1. Clean prawns. 2. Marinate. 3. Fry. 4. Serve. 5. Hot. 6. With rice. 7. Garnish. 8. Enjoy.,25
Prawn Masala,non-veg,normal,prawn onion garlic spices,260,"1. Clean prawns. 2. Chop onion and garlic. 3. Heat oil, sauté onion. 4. Add garlic and spices. 5. Add prawns, cook. 6. Add water if needed. 7. Simmer until done. 8. Garnish and serve.",25
Puttu,veg,normal,rice coconut,200,1. Steam rice. 2. Add coconut. 3. Serve. 4. Steamed. 5. Breakfast. 6. Kerala. 7. Healthy. 8. Traditional.,20
Rajma Chawal,veg,normal,kidney beans rice onion tomato,220,"1. Soak 1 cup kidney beans overnight. 2. Boil beans until soft. 3. Chop 1 onion and 1 tomato. 4. Sauté onion, add tomato and spices. 5. Add boiled beans and simmer. 6. Cook 1 cup rice separately. 7. Mix rice with rajma. 8. Serve hot.",60
Rogan Josh,non-veg,normal,lamb yogurt spices,340,1. Cut lamb into pieces. 2. Marinate in yogurt and spices. 3. Cook in pressure cooker. 4. Sauté onions and garlic. 5. Add lamb and simmer. 6. Add Kashmiri chilies. 7. Cook until tender. 8. Serve with rice.,70
Sambar,veg,normal,toor dal vegetables spices,200,1. Cook dal. 2. Add veggies. 3. Add spices. 4. Simmer. 5. Serve. 6. With rice. 7. South Indian. 8. Tangy.,30
Samosa,veg,normal,potato spices,280,1. Make dough. 2. Fill with potato. 3. Shape. 4. Fry. 5. Serve. 6. Hot. 7. Snack. 8. Street food.,30
Sev Puri,veg,normal,puri sev vegetables chutney,220,1. Arrange puris on a plate. 2. Top with chopped potatoes and onions. 3. Add sweet and green chutney. 4. Sprinkle sev and spices. 5. Drizzle yogurt. 6. Add pomegranate seeds. 7. Garnish with coriander. 8. Serve fresh.,20
Turkey Salad,non-veg,normal,turkey lettuce tomato,220,1. Cook turkey breast. 2. Shred it. 3. Chop lettuce and tomato. 4. Mix in bowl. 5. Add dressing. 6. Toss well. 7. Chill. 8. Serve fresh.,30
Vegetable Biryani,veg,normal,rice mixed vegetables spices,250,"1. Rinse 1 cup basmati rice and soak for 30 minutes. 2. Chop mixed vegetables like carrots, peas, and beans. 3. Heat 1 tablespoon oil in a pot. 4. Add whole spices and sauté vegetables. 5. Add rice and 2 cups water. 6. Bring to boil, then simmer covered. 7. Cook for 15-20 minutes until rice is done. 8. Fluff and serve hot.",50
Vegetable Curry,veg,normal,vegetables spices,250,1. Heat oil. 2. Add cumin. 3. Add mixed vegetables. 4. Add spices. 5. Add water. 6. Simmer. 7. Serve. 8. With rice.,35
Vegetable Dosa,veg,normal,rice urad dal onion carrot,200,1. Soak 1 cup rice and 1/2 cup urad dal for 4 hours. 2. Grind into batter and ferment overnight. 3. Chop 1 onion and 1 carrot finely. 4. Heat a griddle and pour batter. 5. Spread thinly and add veggies on top. 6. Cook until golden on both sides. 7. Serve with chutney. 8. Repeat for more dosas.,300
Vegetable Poha,veg,normal,poha onion carrot peas,170,"1. Rinse 1 cup poha and soak for 5 minutes. 2. Chop 1 onion, 1 carrot, and 1/2 cup peas. 3. Heat 1 tablespoon oil in a pan. 4. Add mustard seeds and let them splutter. 5. Add chopped onion and sauté until golden. 6. Add carrot and peas, cook for 5 minutes. 7. Drain poha and add to the pan, mix well. 8. Cook for 2-3 minutes and serve.",15
Vegetable Upma,veg,normal,semolina carrot beans onion,180,"1. Heat 1 tablespoon of oil in a pan over medium heat. 2. Add 1/2 teaspoon of mustard seeds and allow them to splutter. 3. Add 1 finely chopped onion and sauté until it turns golden brown. 4. Add 1 chopped carrot and 1/2 cup chopped beans, and cook for 5 minutes until slightly tender. 5. Stir in 1 cup of roasted semolina (rava) and mix well to combine. 6. Gradually pour in 2 cups of water while stirring continuously to avoid lumps. 7. Cook the mixture on low heat for 10-15 minutes until the water is absorbed and the upma thickens. 8. Garnish with fresh coriander leaves and serve hot.",30
Vindaloo,non-veg,normal,pork vinegar spices,350,1. Marinate pork in vinegar and spices. 2. Grind spices into paste. 3. Cook pork until tender. 4. Sauté onions. 5. Add paste and pork. 6. Simmer with water. 7. Adjust tanginess. 8. Serve hot.,60
Aloo Gobi,veg,diabetes,potato cauliflower onion spices,160,"1. Chop 2 potatoes and 1 cup cauliflower florets. 2. Chop 1 onion finely. 3. Heat 1 tablespoon oil in a pan. 4. Add cumin seeds and let them splutter. 5. Sauté onion until translucent. 6. Add potatoes and cauliflower, cook for 10 minutes. 7. Add spices like turmeric and coriander. 8. Simmer until vegetables are tender, serve warm.",35
Aloo Gobi Masala,veg,diabetes,potato cauliflower spices,260,1. Heat oil. 2. Add spices. 3. Add vegetables. 4. Cook. 5. Add water. 6. Simmer. 7. Serve. 8. With roti.,40
Aloo Matar,veg,diabetes,potato peas spices,240,1. Heat 2 tablespoons oil. 2. Add cumin seeds. 3. Add 2 chopped potatoes. 4. Add 1 cup peas. 5. Add spices. 6. Cook covered for 15 minutes. 7. Stir. 8. Serve with puri.,35
Aloo Paratha,veg,diabetes,potato flour spices,280,"1. Make wheat dough. 2. Boil potatoes, mash with spices. 3. Stuff dough. 4. Roll. 5. Cook on tawa. 6. Flip. 7. Serve. 8. With curd.",40
Besan Chilla,veg,diabetes,gram flour spinach onion,170,1. Mix 1 cup gram flour with water to make batter. 2. Chop 1 cup spinach and 1 onion. 3. Add to batter along with spices. 4. Heat a non-stick pan. 5. Pour batter and spread thinly. 6. Cook until edges are golden. 7. Flip and cook the other side. 8. Serve with chutney.,20
Bhindi Do Pyaza,veg,diabetes,okra onion spices,230,1. Cook bhindi. 2. Add onions. 3. Simmer. 4. Serve. 5. North Indian. 6. Dry. 7. Side. 8. Tasty.,25
Bhindi Masala,veg,diabetes,okra onion spices,220,1. Wash bhindi. 2. Heat oil. 3. Add spices. 4. Add bhindi. 5. Cook. 6. Stir. 7. Serve. 8. Dry.,25
Bitter Gourd Stir Fry,veg,diabetes,bitter gourd onion spices,110,1. Slice gourd. 2. Chop onion. 3. Heat oil. 4. Sauté onion. 5. Add gourd. 6. Add spices. 7. Cook until tender. 8. Serve.,20
Broccoli Stir Fry,veg,diabetes,broccoli garlic oil,120,1. Cut broccoli. 2. Chop garlic. 3. Heat oil. 4. Add garlic. 5. Add broccoli. 6. Stir fry. 7. Season. 8. Serve.,15
Cabbage Sabzi,veg,diabetes,cabbage spices,150,1. Chop cabbage. 2. Heat oil. 3. Add spices. 4. Add cabbage. 5. Cook. 6. Serve. 7. Light. 8. Healthy.,20
Cauliflower Rice,veg,diabetes,cauliflower spices,90,1. Grate cauliflower. 2. Heat oil. 3. Add spices. 4. Add cauliflower. 5. Stir fry. 6. Cook for 5 minutes. 7. Season. 8. Serve.,15
Chana Masala,veg,diabetes,chickpeas onion tomato spices,280,"1. Soak 1 cup chana overnight. 2. Pressure cook chana for 20 minutes. 3. Heat 2 tablespoons oil. 4. Add 1 chopped onion and sauté. 5. Add 2 chopped tomatoes and cook. 6. Add spices like cumin, coriander, chili. 7. Add cooked chana and simmer. 8. Garnish with coriander.",45
Chicken Breast Salad,non-veg,diabetes,chicken breast lettuce cucumber,180,1. Grill chicken. 2. Slice. 3. Chop veggies. 4. Mix. 5. Dress. 6. Toss. 7. Chill. 8. Serve.,30
Chicken Korma,non-veg,diabetes,chicken yogurt spices,390,1. Marinate chicken. 2. Heat oil. 3. Add spices. 4. Add chicken. 5. Add yogurt. 6. Cook. 7. Serve. 8. Mild.,45
Chicken Masala,non-veg,diabetes,chicken tomato spices,350,1. Clean chicken. 2. Heat oil. 3. Add onion. 4. Add spices. 5. Add chicken. 6. Cook. 7. Serve. 8. With rice.,40
Chicken Soup,non-veg,diabetes,chicken carrot celery,150,1. Boil chicken. 2. Chop veggies. 3. Add to pot. 4. Simmer. 5. Shred chicken. 6. Season. 7. Serve. 8. Hot.,40
Cucumber Raita,veg,diabetes,cucumber yogurt spices,100,1. Grate cucumber. 2. Mix yogurt. 3. Add spices. 4. Chill. 5. Serve. 6. Cool. 7. Accompaniment. 8. Refreshing.,10
Dal Khichdi,veg,diabetes,rice dal turmeric cumin,180,"1. Rinse 1/2 cup rice and 1/4 cup dal together. 2. In a pot, heat 1 teaspoon ghee or oil. 3. Add 1/2 teaspoon cumin seeds and let them splutter. 4. Add the rinsed rice and dal mixture. 5. Add 1/4 teaspoon turmeric powder and mix well. 6. Pour in 3 cups of water and bring to a boil. 7. Reduce heat and simmer for 20-25 minutes until soft. 8. Stir occasionally, season, and serve warm.",35
Dhokla,veg,diabetes,rice dal yogurt,150,"1. Soak rice and dal for 4 hours, grind to batter. 2. Ferment overnight with yogurt. 3. Add spices and steam in molds. 4. Cook for 15 minutes. 5. Let cool and cut into pieces. 6. Temper with mustard seeds. 7. Garnish with coriander. 8. Serve with chutney.",30
Egg Biryani,non-veg,diabetes,egg rice spices,320,1. Boil 4 eggs. 2. Cook 2 cups rice. 3. Fry onions. 4. Layer eggs and rice. 5. Add spices. 6. Cook. 7. Serve. 8. With raita.,45
Egg Curry,non-veg,diabetes,egg spices,250,1. Boil eggs. 2. Heat oil. 3. Add onion. 4. Add spices. 5. Add eggs. 6. Cook. 7. Serve. 8. With rice.,30
Egg Masala,non-veg,diabetes,egg spices,240,1. Boil eggs. 2. Heat oil. 3. Add onion. 4. Add spices. 5. Add eggs. 6. Cook. 7. Serve. 8. With rice.,25
Egg White Omelette,non-veg,diabetes,egg white spinach,140,1. Beat egg whites. 2. Chop spinach. 3. Heat pan. 4. Pour eggs. 5. Add spinach. 6. Cook. 7. Fold. 8. Serve.,10
Eggplant Curry,veg,diabetes,eggplant tomato spices,150,1. Cut eggplant. 2. Chop tomato. 3. Heat oil. 4. Sauté spices. 5. Add veggies. 6. Cook. 7. Simmer. 8. Serve.,25
Fish Amritsari,non-veg,diabetes,fish spices,320,1. Marinate fish. 2. Fry. 3. Serve. 4. Crispy. 5. Punjabi. 6. Famous. 7. Street food. 8. Spicy.,30
Grilled Fish,non-veg,diabetes,fish lemon herbs,160,1. Marinate fish. 2. Preheat grill. 3. Grill. 4. Turn. 5. Cook through. 6. Rest. 7. Serve. 8. With lemon.,25
Gulab Jamun,veg,diabetes,milk powder sugar,350,1. Make dough. 2. Shape. 3. Fry. 4. Soak in syrup. 5. Serve. 6. Sweet. 7. Festive. 8. Dessert.,45
Idiyappam,veg,diabetes,rice,160,1. Make dough. 2. Press. 3. Steam. 4. Serve. 5. String. 6. Breakfast. 7. Kerala. 8. Light.,25
Kachori,veg,diabetes,flour dal spices,350,1. Make dough. 2. Fill with dal. 3. Fry. 4. Serve. 5. With chutney. 6. Flaky. 7. Snack. 8. Rajasthani.,35
Kheer,veg,diabetes,rice milk nuts,160,1. Rinse 1/2 cup rice and cook in milk. 2. Stir until thick. 3. Add cardamom and nuts. 4. Sweeten with jaggery if allowed. 5. Cook on low heat. 6. Let cool. 7. Garnish with saffron. 8. Serve chilled.,40
Kolkata Biryani,non-veg,diabetes,chicken potato spices,430,1. Marinate chicken. 2. Cook rice. 3. Add potato. 4. Dum. 5. Serve. 6. Potato. 7. Bengali. 8. Unique.,55
Lamb Curry,non-veg,diabetes,lamb coconut spices,410,1. Clean lamb. 2. Heat oil. 3. Add spices. 4. Add lamb. 5. Add coconut. 6. Cook. 7. Simmer. 8. Serve.,55
Makhanwala,veg,diabetes,paneer cream spices,360,1. Cook paneer. 2. Add cream. 3. Simmer. 4. Serve. 5. Rich. 6. Mughlai. 7. Festive. 8. Creamy.,35
Mixed Vegetable Curry,veg,diabetes,vegetables spices,240,1. Chop veggies. 2. Heat oil. 3. Add spices. 4. Add veggies. 5. Cook. 6. Serve. 7. Balanced. 8. Nutritious.,35
Mushroom Soup,veg,diabetes,mushroom onion herbs,110,1. Chop mushrooms. 2. Sauté onion. 3. Add mushrooms. 4. Add water. 5. Simmer. 6. Blend. 7. Season. 8. Serve.,25
Mutton Stew,non-veg,diabetes,mutton vegetables,280,1. Cook mutton. 2. Add veggies. 3. Simmer. 4. Serve. 5. Light. 6. Kerala. 7. Comfort. 8. Hearty.,45
Mutton Vindaloo,non-veg,diabetes,mutton vinegar spices,430,1. Marinate mutton. 2. Heat oil. 3. Add spices. 4. Add mutton. 5. Cook. 6. Simmer. 7. Serve. 8. Spicy.,55
